Speaker 1,Speaker 2,Text
Dumbledore,Tom Riddle,"It's not wise to be wandering 
around this late, Tom."
Tom Riddle,Dumbledore,"Yes, Professor. I suppose I -- I 
just had to see for myself, if…... the rumors were true."
Dumbledore,Tom Riddle,"I'm afraid they are, Tom."
Tom Riddle,Dumbledore,"About the school as well? They wouldn't really close Hogwarts, would they, Professor?"
Dumbledore,Tom Riddle,"Headmaster Dippet may have no 
choice, I'm afraid."
Tom Riddle,Dumbledore,"Sir? If it all stopped. If the 
person responsible was caught…"
Dumbledore,Tom Riddle,"Is there something you wish to 
tell me, Tom?"
Tom Riddle,Dumbledore,"No, sir. Nothing."
Dumbledore,Tom Riddle,Very well then. Hurry along.
Hagrid,Aragog,"C'mon, Aragog. Gotta get yeh
outta here... C'mon now.. in the
box…"
Tom Riddle,Hagrid,"Evening, Hagrid.I'm going to have to turn you in, 
Hagrid. I don't think you meant 
it to kill anyone --"
Hagrid,Tom Riddle,"No, yeh can't! Yeh don' 
understand!"
Tom Riddle,Hagrid,"Hagrid. The dead girl's parents 
will be here tomorrow. The least 
Hogwarts can do is make sure the 
thing that killed their daughter 
is slaughtered."
Hagrid,Tom Riddle,"It wasn' him! Aragog never'd kill 
no one! Never!"
Tom Riddle,Hagrid,"Monsters don't make good pets, 
Hagrid. Now... stand aside…"
Hagrid,Tom Riddle,Noooooo!
Harry,Ron,"Ron! 
Ron!"
Ron,Harry,What? What's happened...?
Harry,Ron,"It was Hagrid. Hagrid opened the 
Chamber of Secrets fifty years ago."
Hermione,Harry,"It can't be Hagrid. It just can't 
be."
Ron,Harry,"We don't even know this Riddle. 
He sounds like a dirty, rotten 
snitch to me."
Harry,Ron,"The monster had killed someone, 
Ron. What would any of us done? "
Hermione,Harry,"Look. Hagrid's our friend. Why 
don't we just go ask him about it?"
Ron,Hermione,"That'd be a cheerful visit. 
Hullo, Hagrid. Tell us, have you 
been setting anything mad and 
hairy loose in the castle lately?"
Hagrid,Harry,"Mad an' hairy? Wouldn' be talkin' 'bou me, now would yeh?"
Harry,Hagrid,No!
Ron,Hagrid,No!
Hermione,Hagrid,No!
Harry,Hagrid,"What's that you've got, Hagrid?"
Hagrid,Harry,"Flesh-Eatin' Slug Repellent. Fer 
the Mandrakes, yeh know. 
Accordin' ter Professor Sprout, 
they still got a bit o' growin' up 
ter do, but once their acne clears 
up, we'll be able to chop 'em up, 
stew 'em, an' get those people in 
the hospital un-Petrified. 'Til 
then, you three best watch 
yerselves, all righ'?"
Neville,Harry,"Harry, I don't know who did it, 
but... you'd better come."
Hermione,Ron,"It had to be a Gryffindor. Nobody 
else knows our password. Unless, 
it wasn't a student…"
Ron,Harry,"Well, whoever it was, they were 
looking for something."
Harry,Ron,"And they found it... Tom Riddle's 
diary is gone."
Ron,Ginny,"Hey, Ginny! Going to the match?"
Ron,Harry,"I tell you, she gets weirder and 
weirder by the day…"
Ron,Hermione,No... don't tell me...
Hermione,Harry,"Harry... I think I've just understood 
something! I've got to go to the 
library!"
Harry,Hermione,What do you understand!
Harry,Ron,The library?
Ron,Harry,"That's Hermione. When in doubt, 
go to the library"
Wood,Harry,"Listen up now. We play our game, 
Hufflepuff doesn't stand a chance. 
We're stronger, quicker, smarter."
George,Wood,"Not to mention they're dead 
terrified Harry'll Petrify them if 
they fly anywhere near him."
Wood,George,"That, too."
Wood,Professor Mcgonagall,Professor McGonagall --
Professor Mcgonagall,Wood,This match has been cancelled.
Wood,Professor Mcgonagall,"Cancelled! They can't cancel 
Quidditch --"
Professor Mcgonagall,Wood,"Silence, Wood! You will return to 
Gryffindor Tower now. Potter, you 
and I will find Mr. Weasley. 
There's something the both of you 
need to see."
Professor Mcgonagall,Harry,I warn you. This will be a bit of a shock.
Ron,Hermione,Hermione!
Professor Mcgonagall,Ron,"She was found near the library. 
Along with this. Does it mean 
anything to either of you?"
Professor Mcgonagall,Harry,"All students will return to their 
house common rooms by six o'clock 
in the evening. You will be 
escorted to each lesson by a 
teacher. No exceptions.I should tell you all this. 
Unless the culprit behind these 
attacks is caught, it is likely 
that the school will be closed "
Neville,Seamus,"Haven't any of the teachers 
noticed that the Slytherins are 
all safe? Isn't it obvious all 
this stuff's coming from 
Slytherin? The Heir of Slytherin, 
the monster of Slytherin -- why 
don't they just chuck all the 
Slytherins out?"
Seamus,Dean,"They can't close Hogwarts. Where 
would we all go?"
Dean,Seamus,"I don't care what anyone says. As 
long as Dumbledore's here, 
Hogwarts will be here."
Harry,Ron,"We've got to talk to Hagrid, Ron. 
I can't believe it's him. But if 
he did set the monster loose last 
time -- even by accident -- he'll 
know how to get inside the Chamber 
of Secrets. And that's a start."
Ron,Harry,"But you heard McGonagall. We're 
not allowed to leave the tower 
except for class --"
Harry,Ron,"I think it's time to get my Dad's 
old Cloak out again."
Hagrid,Harry,Who's there?
Harry,Hagrid,What's that for?
Hagrid,Harry,"Nothin', nothin'. I've been 
expectin'... Doesn't matter. Sit 
down... I'll make tea…"
Harry,Hagrid,"Are you okay? Hagrid? Did you 
hear about Hermione?"
Hagrid,Harry,"Oh, yea. I heard, all righ'."
Harry,Hagrid,"Look... we have to ask you 
something. Do you know who's 
opened the Chamber of Secrets?"
Hagrid,Harry,C-come in.
Dumbledore,Hagrid,"Good evening, Hagrid."
Ron,Harry,"That's Dad's boss! Cornelius 
Fudge. The Minister of Magic!"
Fudge,Hagrid,"Bad business, Hagrid. Very bad 
business. Had to come. Four 
attacks on Muggle-borns.
Things've gone far enough.
Ministry's got to act."
Hagrid,Dumbledore,"I never... You know I never, 
Professor Dumbledore, sir…"
Dumbledore,Fudge,"I want it understood, Cornelius, 
that Hagrid has my full 
confidence."
Fudge,Dumbledore,"Look, Albus, Hagrid's record's 
against him. I've got to take 
him."
Hagrid,Fudge,"Take me? Where? Not Azkaban 
prison."
Fudge,Hagrid,"For a short stretch only. Not a 
punishment, Hagrid. More a 
precaution. If someone else is 
caught, you'll be released with a 
full apology."
Lucius Malfoy,Fudge,"Already here, Fudge? Good, 
good…"
Hagrid,Lucius Malfoy,"What're you doin' here! Get outta 
my house!"
Lucius Malfoy,Hagrid,"My dear man, please believe me, I 
have no pleasure at all in being 
inside your -- do you call this a 
house? I simply called at the 
school and was told the Headmaster 
was here."
Dumbledore,Lucius Malfoy,"And what exactly did you want with 
me, Lucius?"
Lucius Malfoy,Dumbledore,"Dreadful thing, Dumbledore, but 
the governors feel it's time for 
you to step aside. This is an 
Order of Suspension. You'll find 
all twelve signatures on it. I'm 
afraid we feel you're losing your 
touch. What with all these 
attacks, there'll be no Muggle- 
borns left at Hogwarts. And we 
all know what an awful loss that 
would be."
Fudge,Lucius Malfoy,"Now, see here, Lucius. Dumbledore 
suspended. No, no... last thing 
we want right now... If Dumbledore 
can't stop these attacks... I mean 
to say, who can?"
Lucius Malfoy,Fudge,"That remains to be seen, but as 
all twelve governors have voted --"
Hagrid,Lucius Malfoy,"An' how many did yeh have ter 
threaten before they agreed!"
Lucius Malfoy,Hagrid,"I would advise you not to shout at 
the Azkaban guards like that."
Hagrid,Lucius Malfoy,"Yeh can take Dumbledore! Take him 
away an' the Muggle-borns won' 
stand a chance! There'll be 
killin's next!"
Dumbledore,Hagrid,"Calm yourself, Hagrid!"
Dumbledore,Lucius Malfoy,"If the governors want my removal, 
Lucius, I shall of course step 
aside. However... you will find 
that I will only truly have left 
this school when none here are 
loyal to me. You will also find 
that help will always be given at 
Hogwarts to those who... ask for 
it."
Lucius Malfoy,Dumbledore,"Admirable sentiments. We shall 
all miss your highly individual 
way of running things, Albus, and 
only hope your successor will 
manage to prevent any more, um, 
killin's."
Hagrid,Harry,"If anyone wanted ter find out some 
stuff, all they'd have ter do is 
follow the spiders. That'd lead 
'em right! Tha's all I'm sayin'. "
Ron,Harry,"Hagrid's right. With Dumbledore 
gone, there'll be an attack a day. "
Harry,Ron,Look.. C'mon.
Ron,Harry,What are you doing?
Harry,Ron,"You heard Hagrid. Follow the 
spiders."
Ron,Harry,"They're heading into the Dark 
Forest. Why spiders. Why couldn't it be 
'Follow the butterflies'?"
Harry,Ron,"There's something moving over 
there... something big."
Ron,Harry,"Harry!... Harry, it's our car!"
Harry,Ron,"It's been here all the time! Look 
at it. The Forest has turned it 
wild."
Harry,Ron,"C'mon, we don't want to lose the 
trail."
Ron,Harry,"I don't have a good feeling about 
this, Harry --"
Harry,Ron,Don't panic.
Aragog,Harry,"You do not come from the forest. 
Your hearts beat like... men."
Harry,Aragog,"
                    Yes. We're friends of Hagrid's.
                    And you... you're...
                          
                    ... Aragog, aren't you?"
Aragog,Harry,"Hagrid has never sent men into our
                    hollow before."
Harry,Aragog,"He's in trouble. Up at school,
                    there've been attacks. They think
                    it's Hagrid. They think he's
                    opened the Chamber of Secrets.
                    Like before."
Aragog,Harry,"That's a lie! Hagrid never opend
                    the Chamber of Secrets!"
Harry,Aragog,"But if Hagrid never... that
                    means... you're not the monster."
Aragog,Harry,"The monster was born in the
                    castle. I came from a distant
                    land, in the pocket of a traveler."
Ron,Harry,Harry...
Harry,Ron,Shhh!
Harry,Aragog,"     But if you're not the monster,
                    what did kill that girl fifty
                    years ago?"
Aragog,Harry,"We do not speak of it! It is an
                    ancient creature we spiders fear
                    above all others."
Harry,Aragog,But have you seen it?
Aragog,Harry,"I never saw any part of the castle
             but the cupboard in which Hagrid
             kept me. The girl was discovered
             in a bathroom. When I was
             accused, Hagrid brought me here."
Harry,Ron,"
What!"
Harry,Aragog,"
""Well... thank you. We'll just
             go..."""
Aragog,Harry,"Go? I think not. My sons and
             daughters do not harm Hagrid, on
             my command. But I cannot deny
             them fresh meat when it wanders so
             willingly into our midst.
             Goodbye, friend of Hagrid."
Ron,Harry,"Can we panic now?

Nice knowing you."
Harry,Ron,"Let's go!

THE WINDOWS!   ROLL UP THE WINDOWS!"
Ron,Ron,"
                    I CAN'T! IT'S STUCK!

Thanks for that."
Harry,Ron,"Don't mention it.

""That way! It's the only way out!
                          
Hurry! They're catching up!""

Can you get us in the air?"
Ron,Harry,"Flying gear's jammed!

""Follow the spiders'! Follow the
                    spiders'! If he ever gets out of
                    Azkaban, I'll kill Hagrid. I
                    mean, what was the point of
                    sending us in there? What have we
                    found out?"""
Harry,Ron,"We know one thing. Hagrid never
                    opened the Chamber of Secrets. He
                    was innocent."
Madam Pomfrey,Ron,"There's no point in talking to a
                    petrified person. She won't hear
                    a word you're saying."
Ron,Madam Pomfrey,"We know that, Madam Pomfrey. It's
                    just, well, you see, we thought,
                    maybe, we could... be with her for
                    a bit. She's our... friend, you
                    see, and... even if she can't hear
                    us... I mean, it can't hurt, can
                    it?"
Madam Pomfrey,Ron,"Very well then. But be quick
about it."
Ron,Madam Pomfrey,"You don't think Lockhart could be
             the heir of Slytherin, do you?
                        
                    Right. Forget I said it."
Harry,Hermione,"Wish you were here, Hermione. We
need you. Now more than ever..."
Harry,Ron,"""Of the many fearsome beasts that
                   roam our land, none is more deadly
                   than the Basilisk. Capable of
                   living for hundreds of years,
                   instant death awaits any who meet
                   this giant serpent's eye. Spiders
                   flee before it and only the
                   crowing of the rooster can kill
                   it.'

             Ron! This is it! The monster in
             the Chamber of Secrets is a
             Basilisk. That's why I can hear
             it speak. It's a snake."""
Ron,Harry,"But it kills by looking people in
the eye. Why is it no one's dead?"
Harry,Ron,"Because no one did look it in the
eye. Not directly at least...
   
Colin saw it through his camera.
Justin -- Justin must've seen the
Basilisk through Nearly Headless
Nick! Nick got the full blast of
it, but he's a ghost -- he
couldn't die again...

... And Hermione... had the
mirror! I bet you anything she
was using it to look round
corners, in case it came along."
Ron,Harry,"And Mrs. Norris? I'm pretty sure
she didn't have a camera or a
mirror, Harry."
Harry,Ron," The water... there was water on
                   the floor that night. She only
                   saw the Basilisk's reflection...
                 
                   The crowing of the rooster is
                   fatal to it! That's why Hagrid's
                   roosters were killed! Spiders
                   flee before it! It all fits!"
Ron,Harry,"But how's the Basilisk been
                   getting around? A dirty great
                   snake. Someone would have seen..."
Harry,Ron,Hermione answered that too.
Ron,Harry," Pipes...? It's using the
plumbing."
Harry,Ron,"Remember what Aragog said? About
                   that girl fifty years ago? She
                   died in a bathroom. What if she
                   never left."
Ron,Harry,Moaning Myrtle!
Professor Mcgonagall,Students, All students are to return to their house dormitories at once.
Professor Mcgonagall,Teachers,"    All teachers to the second floor
                   corridor. Immediately.

As you can see, the Heir of
                   Slytherin has left another
                   message. Our worst fear has been
                   realized. A student has been
                   taken by the monster. Into the
                   Chamber itself.
                     
                   I'm afraid we shall have to send
                   the students home. I'm afraid...
                   this is the end of Hogwarts."
Gilderoy Lockhart,Teachers,"So sorry. Dozed off. What have I
missed?"
Snape,Gilderoy Lockhart,"Just the man. A girl has been
                   snatched by the monster, Lockhart.
                   Your moment has come at last."
Gilderoy Lockhart,Snape,My m-moment?
Snape,Gilderoy Lockhart,"Weren't you saying just last night
                   that you've known all along where
                   the entrance to the Chamber of
                   Secrets is?"
Gilderoy Lockhart,Snape,D-did I?   I don't recall...
Professor Mcgonagall,Gilderoy Lockhart,"That settles it. We'll leave it
to you to deal with the monster
Gilderoy. Your skills, after all,
are legend."
Gilderoy Lockhart,Professor Mcgonagall,"V-very well. I'll -- I'll be in
my office, getting -- getting
ready."
Professor Mcgonagall,Teachers,"The rest of us should go and
inform the students what has
happened."
Professor Sprout,Professor Mcgonagall,"Who is it the monster's taken,
Minerva?
"
Professor Mcgonagall,Professor Sprout,Ginny Weasley.
Ron,Harry,"She knew something, Harry. She'd
                   found out something about the
                   Chamber of Secrets. That's why
                   she was taken. I mean, she was --
                   is -- a pure-blood. There can't
                   be any other reason."
Harry,Ron,"C'mon. Let's go see Lockhart. He
                   may be a brainless git, but he's
                   going to try and get into the
                   Chamber. We can tell him what we
                   know..."
Ron,Harry,"Harry. D'you think there's any
             chance at all she's not, you
             know --"
Harry,Ron,"We'll find her, Ron.   Ginny's
                   going to be fine."
Harry,Gilderoy Lockhart,"
Professor, we've got some
information for you --

Are you going somewhere?"
Gilderoy Lockhart,Harry,"Um, well, yes. Urgent call.
Unavoidable. Got to go...
"
Ron,Gilderoy Lockhart,What about my sister?
Gilderoy Lockhart,Ron,"Well, as to that -- most
unfortunate. No one regrets more
than I --"
Ron,Gilderoy Lockhart,"You're the Defense Against the
Dark Arts teacher! You can't go
now!"
Gilderoy Lockhart,Ron,"I must say, when I took the job,
nothing in the job description --"
Harry,Gilderoy Lockhart,"You're running away? After all
that stuff you did in your books?"
Gilderoy Lockhart,Harry,Books can be misleading.
Harry,Gilderoy Lockhart,You wrote them!
Gilderoy Lockhart,Harry,"My dear boy, do use your common
             sense. My books wouldn't have
             sold half as well if people didn't
             think I'd done all those things.
             No one wants to read about some
             ugly old Armenian warlock, even if
             he did save a village from
             werewolves. He'd look dreadful on
             the front cover. No dress sense
at all..."
Harry,Gilderoy Lockhart,"You're a fraud! You've just been
             taking credit for what a load of
             other wizards have done!"
Gilderoy Lockhart,Harry,"Harry, Harry, Harry. There was
             work involved. I had to track
             these people down and ask them
             exactly how they managed to do
             what they did. No, it's not all
             book signings and publicity
             photos. You want fame, you have
             to be prepared for a long, hard
             slog."
Ron,Gilderoy Lockhart,Is there anything you can do?
Gilderoy Lockhart,Ron,"Yes, now that you mention it. I'm
             rather gifted with Memory Charms.
             Otherwise, you see, all those
             wizards would've gone blabbing and
             I'd never have sold another book.
             I'm afraid I'll have to do the
             same to you both, lest you do the
             same."
Harry,Gilderoy Lockhart,"Expelliarmus!

                   Looks like those Dueling Lessons
                   came in handy after all,
                   Professor."
Moaning Myrtle,Harry,"Who's there? Oh...
                   Hello, Harry. What do you want?"
Harry,Moaning Myrtle,To ask you how you died.
Moaning Myrtle,Harry," Oooooh, it was dreadful. It
                   happened right here. In this very
                   cubicle. I'd hidden because Olive
                   Hornby was teasing me about my
                   glasses. I was crying, and then I
                   heard somebody come in."
Harry,Moaning Myrtle,"Who was it, Myrtle?"
Moaning Myrtle,Harry,"I don't know! I was distraught!
                   But they said something funny. A
                   kind of made-up language. And I
                   realized it was a boy speaking.

So I unlocked the door, to tell
him to go away, and... I died."
Harry,Moaning Myrtle,Just like that? How?
Moaning Myrtle,Harry,"No idea. I just remember seeing a
pair of great big yellow eyes.
Over there..."
Harry,Ron,"This is it, Ron. This is the
entrance to the Chamber of
Secrets."
Ron,Harry,"Say something, Harry. Say
something in Parseltongue."
Harry,Ron,Open up.
Ron,Harry,English.
Gilderoy Lockhart,Harry,"Excellent, Harry. Good work.
             Well then. I'll just be going.
             There's no need for me..."
Harry,Gilderoy Lockhart,"Oh, yes there is. You first."
Gilderoy Lockhart,Harry,"Now, boys.   What good will it do?"
Ron,Gilderoy Lockhart,"A bloody lot of good if it's a
two-hundred-foot drop onto jagged
rocks."
Gilderoy Lockhart,Harry,"It's really quite filthy down
                   here."
Harry,Gilderoy Lockhart,All right.   Let's go.
Moaning Myrtle,Harry,"Oh, Harry... if you die down
                   there, you're welcome to share my
                   toilet."
Harry,Moaning Myrtle,"Thanks, Myrtle."
Harry,Ron,"Remember. Any sign of movement,
close your eyes straight away."
Ron,Gilderoy Lockhart,What's that?   Up ahead?
Gilderoy Lockhart,Ron,That looks like a... snake.
Harry,Gilderoy Lockhart,Maybe it's asleep.
Ron,Harry,"Bloody hell. Whatever shed this
must be twenty feet long. Or
more.

Heart of a lion, this one."
Gilderoy Lockhart,Ron,"The adventure ends here, boys!
             But don't fret. The world will
             know our story. How I was too
             late to save the girl. How you
             two tragically lost your minds at
             the sight of her mangled body.
             I'll even bind a limited edition
             in this snake skin. Say goodbye
             to your memories.
                    
             Obliviate!"
Harry,Ron,Ron?   Are you okay?
Ron,Harry,"I'm okay. This git's not, though.
                   He got blasted by my wand.

What now?"
Harry,Ron,"Wait here. I'll go on. I'll go
             on and... find Ginny. If I'm not
             back in an hour..."
Ron,Harry," I'll try and shift some of this
             rock. So you can get back
             through. And, Harry --"
Harry,Ron,See you in a bit.
Harry,Ginny,"Ginny!   Please don't be dead.
                            Wake up! Wake up!
Ginny!"
Tom Riddle,Harry,She won't wake.
Harry,Tom Riddle," Tom... Tom Riddle? What d'you
                   mean, she won't wake? She's
                   not..."
Tom Riddle,Harry,She's still alive. But only just.
Harry,Tom Riddle,Are you a ghost?
Tom Riddle,Harry,"
             A memory. Preserved in a diary
for fifty years."
Harry,Tom Riddle,"She's cold as ice. You've got
             to help me, Tom. There's a
             basilisk --
"
Tom Riddle,Harry,It won't come until it's called.
Harry,Tom Riddle,"Give me my wand, Tom."
Tom Riddle,Harry,"You won't be needing it.
"
Harry,Tom Riddle,"Listen, we've got to go!
got to save her!"
Tom Riddle,Harry,"I'm afraid I can't do that, Harry.
You see, as poor Ginny grows
weaker... I grow stronger."
Harry,Tom Riddle,But she's dying!
Tom Riddle,Harry," Yes. I'm afraid so. But then,
             she's been in so much pain, poor
             Ginny. She's been writing to me
             for months, telling me all her
             pitiful worries and woes. Ginny
             poured her soul out to me. I grew
             stronger on a diet of her deepest
             fears, her darkest secrets. I
             grew powerful enough to start
             feeding Ginny a few secrets, to
             start pouring a bit of my soul
             back into her...

Yes, Harry, it was Ginny Weasley
who opened the Chamber of Secrets."
Harry,Tom Riddle,"No... she couldn't -- she
wouldn't."
Tom Riddle,Harry,"It was Ginny who set the Basilisk
on the Mudbloods and the Squib's
cat. Ginny who wrote threatening
messages on the walls.
"
Harry,Tom Riddle,But... Why?...
Tom Riddle,Harry,"Because I told her to. You'll
find that I can be very
persuasive. Not that she knew
what she was doing. She was,
shall we say, in a kind of trance.
Still, the power of the diary
began to scare her and she tried
to dispose of it in the girls'
bathroom. But then, who should
find it... but you. The very
person I was most anxious to meet."
Harry,Tom Riddle,And why did you want to meet me?
Tom Riddle,Harry,"Ginny told me all about you. I
knew I had to talk to you, meet
you if I could. So I decided to
show you my capture of that
brainless oaf, Hagrid, to gain
your trust."
Harry,Tom Riddle,"Hagrid's my friend. And you
framed him, didn't you?"
Tom Riddle,Harry,"It was my word against Hagrid's.
Only Dumbledore seemed to think
Hagrid was innocent."
Harry,Tom Riddle,"I'll bet Dumbledore saw right
through you."
Tom Riddle,Harry,"I knew it wouldn't be safe to open
the Chamber again while I was
still at school. So I decided to
leave behind a diary, preserving
my sixteen-year-old self in its
pages, so that one day... I would
be able to lead another to finish
Salazar Slytherin's noble work."
Harry,Tom Riddle,"Well, you haven't finished it this
time. In a few hours Mandrake
Draught will be ready and everyone
who was petrified will be all
right again."
Tom Riddle,Harry,"Haven't I told you, that killing
Mudbloods doesn't matter to me
anymore? For many months now, my
new target has been... you.
                 
             Imagine my disappointment when I
             learned Ginny had stolen the diary
             back from you."
Harry,Tom Riddle,"Ginny stole the diary from my
             room? But why?"
Tom Riddle,Harry,"She was afraid. Afraid you'd
learn how to work the diary.
Afraid I'd tell you just who it
was that had been strangling all
those roosters

. Come now, Harry. Don't look so
             disappointed. Had Ginny succeeded
             in destroying the diary, she would
             have destroyed me. And we
             couldn't be having this little
             talk. And I have so many
             questions for you."
Harry,Tom Riddle,Like what?
Tom Riddle,Harry,"Well, how is it that a baby with
no extraordinary magical talent
managed to defeat the greatest
wizard of all time? How did you
escape with nothing but a scar,
while Lord Voldemort's powers were
destroyed?"
Harry,Tom Riddle,"Why do you care how I escaped?
Voldemort was after your time."
Tom Riddle,Harry,"Voldemort is my past, present and
future."
Harry,Tom Riddle,"You. You're the heir of
                   Slytherin. You're Voldemort?"
Tom Riddle,Harry," Surely you didn't think I would
                   keep my filthy Muggle father's
                   name?

No, I fashioned myself a new name,
                   a name I knew wizards everywhere
                   would one day fear to speak, when
                   I became the greatest sorcerer in
                   the world."
Harry,Tom Riddle," Albus Dumbledore is the greatest
                   sorcerer in the world!"
Tom Riddle,Harry,"Dumbledore's been driven out of
             this castle by the mere memory of
             me."
Harry,Tom Riddle,"He'll never be gone! Not as long
             as those who remain are loyal to
             him!"
Harry,Fawkes,Fawkes.
Tom Riddle,Harry,"
             This is what Dumbledore sends his
             defender! A songbird and an old
             hat!

Speak to me, Slytherin.

 Let's match the powers of Lord
                    Voldemort, Heir of Salazar
                    Slytherin, against the famous
                    Harry Potter, shall we?

Kill him!

Parseltongue won't save you now,
                    Potter. The Basilisk only obeys me."
Harry,Harry,"Don't look. Don't look into its
eyes."
Tom Riddle,Harry,"Fool! Think you're safe!   It can
still hear you!

Yes, Potter. The process is
nearly complete. In a few
minutes, Ginny Weasley will be
dead. And I will cease to be a
memory. Lord Voldemort will
return. Very much... alive.

Remarkable, isn't it? How quickly
             the venom of the Basilisk
             penetrates the body? If you have
             any final words, Potter, you'd
             best speak them now. I'd guess
             you have little more than a minute
             to live.

So ends the famous Harry Potter.
                    On his knees in the Chamber of Secrets. 
Defeated at last by the
             Dark Lord he so unwisely
             challenged. You'll be back with
             your dear Mudblood mother soon,
             Harry...

Funny, isn't it?
The damage a silly little book can do?
Especially in the hands of a silly
little girl.


What are you doing? No. Stop...

No!"
Ginny,Harry,"Harry. It was me! But I swear, I
             didn't mean to... Riddle made me.
             He wrote to me... took me over...
             I didn't even know whose diary it
was. I found it inside my
             cauldron. The day we all went to
             Diagon Alley and... Harry. You're
             hurt..."
Harry,Ginny,"Ginny. You need to get yourself
             out... Follow the chamber...
             You'll find Ron..."
Harry,Fawkes,"You were brilliant, Fawkes. I
just... wasn't quick enough.

Of course. Dumbledore told me.
Phoenix tears have healing powers."
Harry,Ginny,"It's all right, Ginny. It's over.
It's just a memory..."
Ron,Ginny,"Ginny!

You're alive.    I can't believe it."
Ginny,Ron,"I'm going to be expelled, I just
know it!"
Ron,Harry,Remind you of anyone?
Harry,Ron,Where's Lockhart?
Ron,Harry,"His Memory Charm backfired.
Hasn't got a clue who he is. I
keep having to stop him wandering
off. He's a danger to himself."
Gilderoy Lockhart,Ron,"Hello. Odd sort of place, this,
isn't it? Do you live here?"
Ron,Gilderoy Lockhart, No.
Ron,Harry,What's with the bird?
Harry,Ron," I think... I think he's telling me
                    he can take us out of here."
Gilderoy Lockhart,Harry,Amazing!   This is just like magic!
Dumbledore,Harry,"Ingenious. Simply... ingenious.

                    Of course, Tom Riddle was probably
                    the most brilliant student
                    Hogwarts has ever seen. I taught
                    him myself fifty years ago. After
                    he left, I would occasionally hear
                    stories of his activities -- dark
                    rumors -- but after awhile, even
                    the rumors stopped. When he
                    finally resurfaced as Lord
                    Voldemort, most people had
                    completely forgotten the clever
                    Head Boy he'd once been."
Dumbledore,Ron,"Ingenious. Simply... ingenious.

                    Of course, Tom Riddle was probably
                    the most brilliant student
                    Hogwarts has ever seen. I taught
                    him myself fifty years ago. After
                    he left, I would occasionally hear
                    stories of his activities -- dark
                    rumors -- but after awhile, even
                    the rumors stopped. When he
                    finally resurfaced as Lord
                    Voldemort, most people had
                    completely forgotten the clever
                    Head Boy he'd once been."
Dumbledore,Ginny,"Ingenious. Simply... ingenious.

                    Of course, Tom Riddle was probably
                    the most brilliant student
                    Hogwarts has ever seen. I taught
                    him myself fifty years ago. After
                    he left, I would occasionally hear
                    stories of his activities -- dark
                    rumors -- but after awhile, even
                    the rumors stopped. When he
                    finally resurfaced as Lord
                    Voldemort, most people had
                    completely forgotten the clever
                    Head Boy he'd once been."
Ginny,Dumbledore,"I didn't know whose diary it was,
                    sir. I swear. I found it inside
                    my cauldron.
                 "
Ginny,Harry,"The day we all went to Diagon
Alley."
Ginny,Dumbledore,"  But I understand if... given all
                   the trouble I've caused... if
                   you --"
Dumbledore,Ginny,"Wiser wizards than you have been
                   hoodwinked by Lord Voldemort, Miss
                   Weasley. No, I think you've
                   endured enough. I would suggest a
                   bit of bed rest, however. And
                   perhaps a large mug of hot
                   chocolate. I always find that
                   cheers me up."
Dumbledore,Professor Mcgonagall,"Minerva, will you
                   show Arthur and Molly up to the
                   hospital wing?"
Professor Mcgonagall,Dumbledore,"Certainly, Albus."
Mrs. Weasley,Ginny,"A diary that writes back to you!
                   Honestly, Ginny! What were you
                   thinking? Haven't I always told
                   you? Never trust anything that
                   can think for itself if you can't
                   see where it keeps its brain!
"
Dumbledore,Harry," You two realize, of course, that
                   in the last few hours, you have
                   broken perhaps a dozen school
                   rules?"
Dumbledore,Ron," You two realize, of course, that
                   in the last few hours, you have
                   broken perhaps a dozen school
                   rules?"
Harry,Dumbledore,"Yes, sir."
Ron,Dumbledore,"Yes, sir."
Dumbledore,Ron,"And that there is sufficient
                   evidence to expel you both?
"
Dumbledore,Harry,"And that there is sufficient
                   evidence to expel you both?
"
Harry,Dumbledore,"Yes, sir."
Ron,Dumbledore,"Yes, sir."
Dumbledore,Harry,"Therefore, it seems only
                   fitting...
                          
                   That you both receive Special
                   Awards for Services to the School.
                   And -- let me see -- yes, I think
                   two hundred points apiece, which,
                   I believe, should be more than
                   enough to secure Gryffindor the
                   House Cup."
Dumbledore,Ron,"Therefore, it seems only
                   fitting...
                          
                   That you both receive Special
                   Awards for Services to the School.
                   And -- let me see -- yes, I think
                   two hundred points apiece, which,
                   I believe, should be more than
                   enough to secure Gryffindor the
                   House Cup."
Harry,Dumbledore,"Thank you, sir."
Ron,Dumbledore,"Thank you, sir."
Dumbledore,Ron,"Now, Mr. Weasley, if you would,
             have an owl deliver these release
             papers to Azkaban. We need our
             gamekeeper back.
"
Dumbledore,Harry," First, Harry, I want to thank you.
             You must have shown me real
             loyalty down in the Chamber.
             Nothing but that could have called
             Fawkes to you. Secondly, I sense
             you're troubled by something. Am
I right?"
Harry,Dumbledore,"It's just, you see, sir, I
                   couldn't help noticing certain
                   things. Certain similarities.
                   Between Tom Riddle and me."
Dumbledore,Harry,"You can speak Parseltongue, Harry,
                   because Lord Voldemort can speak
                   Parseltongue. Unless I'm much
                   mistaken, he transformed some of
                   his own powers to you the night he
                   gave you that scar."
Harry,Dumbledore,"Voldemort put a bit of himself in
                   me?"
